Position Title,Date,Apply,Work Model,Location,Company,Company Size,Company Industry,Salary,Qualifications,H1b Sponsored,Is New Grad
Data Analyst,2025-11-21,https://jobright.ai/jobs/info/69209db300c9ee50eaec6126?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Texas, United States
California, United States",WRLO Accountants,1-10,"Accounting,Advice",$35-$40 /hr,"1. High school diploma or equivalent
2. Basic computer and communication skills
3. Strong organizational and time management abilities
4. Ability to work independently or as part of a team
5. Adaptable and willing to learn new tools or systems",not sure,
Information Technology Support Associate,2025-11-21,https://jobright.ai/jobs/info/69209d1fa49a885af9a3d538?utm_source=1100&utm_campaign=Software Engineering,On Site,"Upper Arlington, OH",Expedient,251-500,"Cloud Computing,Cyber Security",$32000-$37440 /yr,"1. Some experience with IT and technology; acceptable experience can include self-study, technical school or work experience.
2. Willingness and ability to learn.",no,
"Customer Service / Tech Support Rep (Tech Products, Bilingual: Eng. / Span.) – Remote",2025-11-21,https://jobright.ai/jobs/info/69209b37a49a885af9a3d3dc?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
USA WV Work-at-Home
USA MS Work-at-Home
USA, TX, Work-at-Home
USA WY Work-at-Home
USA, MN, Work-at-Home
USA, AZ, Work-at-Home
USA, RI, Work-at-Home
USA, OH, Work-at-Home
USA SC Work-at-Home
USA, TN, Work-at-Home
USA, KY, Work-at-Home
USA, IA, Work-at-Home
USA LA Work-at-Home
USA AR Work-at-Home
USA OK Work-at-Home
USA MI Work-at-Home
USA, UT, Work-at-Home
USA ND Work-at-Home
USA, FL, Work-at-Home
USA, GA, Work-at-Home
USA, NC, Work-at-Home
USA, ID, Work-at-Home
USA, SD, Work-at-Home
USA NV Work-at-Home
USA, NE, Work-at-Home
USA IN Work-at-Home
USA, KS, Work-at-Home
USA, CO, Work-at-Home
USA, MO, Work-at-Home
USA, WI, Work-at-Home
USA, PA, Work-at-Home
USA VT Work-at-Home",Concentrix,10000+,"Customer Service,Information Technology",$18.31-$18.31 /hr,"1. The ability to read, write and speak fluently both Spanish and English
2. 1+ year of customer service experience
3. A high school diploma or GED
4. Strong focus on building customer relationships
5. Comfortable using and explaining technology
...",not sure,
"Customer Service / Tech Support Rep – Tech Products (Night Shift, Remote)",2025-11-21,https://jobright.ai/jobs/info/69209b2da49a885af9a3d3d3?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
USA LA Work-at-Home
USA, NC, Work-at-Home
USA OK Work-at-Home
USA ND Work-at-Home
USA MI Work-at-Home
USA, PA, Work-at-Home
USA, KS, Work-at-Home
USA WY Work-at-Home
USA, AZ, Work-at-Home
USA WV Work-at-Home
USA, CO, Work-at-Home
USA, FL, Work-at-Home
USA, GA, Work-at-Home
USA ME Work-at-Home
USA, TN, Work-at-Home
USA SC Work-at-Home
USA, TX, Work-at-Home
USA IN Work-at-Home
USA AR Work-at-Home
USA, RI, Work-at-Home
USA AL Work-at-Home
USA, ID, Work-at-Home
USA, SD, Work-at-Home
USA, WI, Work-at-Home
USA VT Work-at-Home
USA, VA, Work-at-Home
USA, MO, Work-at-Home
USA NV Work-at-Home
USA, IA, Work-at-Home
USA, MN, Work-at-Home
USA, NM, Work-at-Home
USA, NE, Work-at-Home
USA, OH, Work-at-Home",Concentrix,10000+,"Customer Service,Information Technology",$20.17-$20.17 /hr,"1. Strong focus on building customer relationships
2. 1+ year of customer service experience
3. The ability to work an evening or overnight schedule
4. A high school diploma or GED
5. A quiet, distraction-free environment to work from in your home
...",not sure,
"IT Systems Engineer, Operations",2025-11-21,https://jobright.ai/jobs/info/69209ad0a49a885af9a3d38d?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Louisville, CO
Centennial, CO (Arapahoe 2) - CO_ARA",Sierra Space,1001-5000,"Advanced Materials,Aerospace","$67,430-$92,716.25 /yr","1. Requires bachelor's degree in a related field (or equivalent work experience in lieu of degree).
2. Typically entry-level 0 - 2 years of experience.
3. Basic understanding of computer hardware and software.
4. Familiarity with operating systems, such as Windows, Linux, or macOS.
5. Ability to troubleshoot common technical issues.
...",not sure,yes
Customer Service / Tech Support Rep – Tech Products (Remote),2025-11-21,https://jobright.ai/jobs/info/69209ab300c9ee50eaec5f29?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
USA, KS, Work-at-Home
USA, TN, Work-at-Home
USA, MO, Work-at-Home
USA MI Work-at-Home
USA AR Work-at-Home
USA, FL, Work-at-Home
USA ME Work-at-Home
USA, NE, Work-at-Home
USA WV Work-at-Home
USA, MN, Work-at-Home
USA, RI, Work-at-Home
USA, PA, Work-at-Home
USA, WI, Work-at-Home
USA, UT, Work-at-Home
USA NV Work-at-Home
USA, GA, Work-at-Home
USA, CO, Work-at-Home
USA AL Work-at-Home
USA LA Work-at-Home
USA, TX, Work-at-Home
USA VT Work-at-Home
USA, SD, Work-at-Home
USA WY Work-at-Home
USA, KY, Work-at-Home
USA, VA, Work-at-Home
USA IN Work-at-Home
USA, AZ, Work-at-Home
USA MS Work-at-Home
USA, OH, Work-at-Home
USA ND Work-at-Home
USA OK Work-at-Home
USA, IA, Work-at-Home
USA, NM, Work-at-Home",Concentrix,10000+,"Customer Service,Information Technology",$17.31-$17.31 /hr,"1. 1+ year of customer service experience
2. A high school diploma or GED
3. Strong focus on building customer relationships
4. Comfortable using and explaining technology
5. A quiet, distraction-free environment to work from in your home
...",not sure,
Customer Service / Tech Support Rep – Tech Products (Remote),2025-11-21,https://jobright.ai/jobs/info/69209a9c00c9ee50eaec5f14?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
Calgary AB
Fort McMurray AB
Embrun, ON
Ottawa, ON
St Johns NL
Cambridge ON
Vanier, ON
CAN, NS, Work-at-Home
Vancouver BC
Limoges, ON
Medicine Hat AB
Langley BC
Saskatoon SK
Beaverdell BC
CAN, ON, Work-at-Home
Windsor ON
Waterloo ON
CAN, NL, Work-at-Home
Airdrie AB
Regina SK
CAN SK Work-at-Home
Saint-Norbert, MB
Russell, ON
CAN, MB, Work-at-Home
CAN AB Work-at-Home
Nepean, ON
Moose Jaw SK
Orleans, ON
CAN PE Work-at-Home
Edwards, ON
Winnipeg, MB
Red Deer AB
Sarnia ON
Charlottetown PE
Wainwright AB
CAN BC Work-at-Home
Saint-Vital, MB
Guelph ON",Concentrix,10000+,"Customer Service,Information Technology",$19.50-$19.50 /hr,"1. 1+ year of customer service experience
2. A high school diploma or GED
3. Strong focus on building customer relationships
4. Comfortable using and explaining technology
5. A quiet, distraction-free environment to work from in your home
...",no,
Associate Data Scientist,2025-11-21,https://jobright.ai/jobs/info/69132b3bd1047e3565d01b3a?utm_source=1100&utm_campaign=Software Engineering,Remote,"Multi Location
New York, United States
Virtual, NY",iHeartMedia,5001-10000,"Advertising,Advertising Platforms",$84000-$105000 /yr,"1. 1-3+ years experience building Machine Learning models
2. 1-3+ years advanced programming skills in Python
3. 1-2+ years LLM prompt engineering and RAG experience
4. Proficiency in SQL and knowledge of RDBMs like Postgres and Redshift
5. Experience with ETL processing and data wrangling including fetching, munging, cleaning, pivoting, analyzing, aggregating, distributing, and visualizing
...",not sure,
"UI/UX Human Factor Developer, Junior",2025-11-21,https://jobright.ai/jobs/info/69209930a49a885af9a3d295?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Arlington County, VA",CGI,10000+,"Analytics,Application Performance Management",$120000-$150000 /yr,"1. Bachelor’s degree and/or 0 to 2 years of experience
2. Active TS/SCI required, active TS/SCI with Poly highly desired.
3. Proficiency in wireframing, prototyping, and visual design.
4. Experience with various research methods, including user interviews, surveys, and usability testing.
5. Knowledge of human capabilities, limitations, and cognitive processes.
...",no,yes
Shift System Engineer,2025-11-21,https://jobright.ai/jobs/info/692098c200c9ee50eaec5d91?utm_source=1100&utm_campaign=Software Engineering,On Site,"Mount Prospect, IL",Americaneagle.com,501-1000,"CMS,E-Commerce",$60000-$80000 /yr,"1. Willingness to work on a rotating shift schedule, including weekends.
2. Basic hardware troubleshooting skills.
3. Strong interest in web hosting technologies and IT innovation.
4. Valid driver's license and access to a personal vehicle.",not sure,
Departmental Technology Analyst - Equipment & Fleet Management (Civil Service),2025-11-21,https://jobright.ai/jobs/info/692097dfa49a885af9a3d203?utm_source=1100&utm_campaign=Software Engineering,On Site,1500 MARILLA,City of Dallas,10000+,"Government,Information Services","$58,800.09-$70,582.62 /yr","1. Bachelor's degree in Business, Computer Science, Engineering, or Technology field.
2. One (1) year of experience developing and/or providing end-user training and software/database systems support.
3. Thorough knowledge of multiple programming languages
4. Thorough knowledge of computer hardware, and two or more operating systems.
5. Thorough knowledge of network systems and configurations.
...",not sure,
Test Engineer - Level II,2025-11-21,https://jobright.ai/jobs/info/6902647bff462851fefe28d5?utm_source=1100&utm_campaign=Software Engineering,On Site,"Hamilton Township, NJ","Augustine Consulting, Inc.",101-250,"Consulting,Information Technology",$63000-$126000 /yr,"1. Must be a U.S. citizen.
2. Due to the sensitive nature of the work being performed, a candidate must possess or be able to obtain and maintain a Secret clearance.
3. High School diploma and 10 years' experience, Associate's Degree and 7 years' experience, Bachelor’s degree and 1 year experience, or Master's Degree and no experience.
4. Lab and hands-on Debugging Exposure.
5. Ability to support occasional travel.",no,
Customer Service/Tech Support Rep (On-Site),2025-11-21,https://jobright.ai/jobs/info/69209579a49a885af9a3d0e8?utm_source=1100&utm_campaign=Software Engineering,On Site,"CAN, Belleville, ON",Concentrix,10000+,"Customer Service,Information Technology",$22-$22 /hr,"1. First-rate technical/customer focus, phone etiquette and work ethic
2. Strong ability to multi task is a must
3. Ability to work under pressure with calmness and composure
4. Strong problem-solving and trouble-shooting skills using operational and diagnostic procedures
5. At least 1 year of experience providing technical support
...",not sure,
"Customer Service / Technical Support Rep, (On-Site)",2025-11-21,https://jobright.ai/jobs/info/6920935d3f782d2f1afc90a2?utm_source=1100&utm_campaign=Software Engineering,On Site,CAN Dartmouth - Eileen Stubbs Ave,Concentrix,10000+,"Customer Service,Information Technology",$19-$19 /hr,"1. 1 year of customer service experience or equivalent, with a High School diploma or GED.
2. Effective communication skills in English, both written and verbally.
3. The natural instinct to multitask, be flexible, and the ability to adapt to changes.
4. The ability to learn including strong problem-solving skills.
5. Patience in working with customers is second nature for you.
...",not sure,
Service Desk Analyst I,2025-11-21,https://jobright.ai/jobs/info/68fbece5f55bb021a889e31b?utm_source=1100&utm_campaign=Software Engineering,On Site,"Virginia Beach, VA",ePlus inc.,1001-5000,"Cloud Computing,Data Center",$16.83-$24.04 /hr,"1. High School diploma required
2. Working knowledge of fundamental operations of relevant software, hardware and other equipment
3. Knowledge of relevant call tracking applications; ServiceNow experience a plus
4. One year of Customer Service experience required
5. Strong verbal communication skills
...",not sure,
IT Services Technician,2025-11-21,https://jobright.ai/jobs/info/692092983f782d2f1afc9002?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Schaumburg, IL","Clarity Technology Group, Inc.",11-50,"Consulting,Information Technology",$55000-$65000 /yr,"1. 1-2 years of previous technical support experience
2. Experience with building desktops and troubleshooting hardware issues
3. Enjoy working as part of a collaborative team and in a fast-paced environment
4. Analytical thinking, problem solving, and the ability to learn quickly
5. Ability to work a light, rotating on-call schedule
...",not sure,
"Research Scientist, Robotics Research - New College Grad 2025",2025-11-21,https://jobright.ai/jobs/info/6903added64a22104aa91a55?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, WA",NVIDIA,10000+,"Artificial Intelligence (AI),GPU","$160,000-$258,750 /yr","1. Completing a PhD in Robotics, Machine Learning, Computer Science, Electrical Engineering, Mechanical Engineering, or a related field (or equivalent experience).
2. A strong research track record, with work published in top robotics and AI conferences and journals such as RSS, CoRL, ICRA, IROS, IJRR, T-RO, NeurIPS, ICML, ICLR, CVPR, ICCV, ECCV, and EMNLP.
3. Exceptional programming skills in Python, as well as proficiency in modern deep learning frameworks (PyTorch or JAX), robotics frameworks (ROS or ROS2), and physics simulation frameworks (Isaac Sim/Lab or MuJoCo). Familiarity with C++, CUDA, and Warp is a plus.
4. Exceptional communication, collaboration, and interpersonal skills, with significant experience working on teams.
5. Comfort in working through the complexities of simulation and real-world robotics, including debugging physics simulators and renderers under rapid development; selecting, setting up, maintaining, and enhancing complex robotics hardware; debugging real-world communication systems; and designing robust workflows for model training and evaluation.",not sure,
Customer Service / Tech Support Rep (Hybrid),2025-11-21,https://jobright.ai/jobs/info/6920905fa49a885af9a3cc96?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"CAN Niagara Falls - 6840 McLeod Road, Unit 5",Concentrix,10000+,"Customer Service,Information Technology",$19.50-$19.50 /hr,"1. Must live within 64 KM from the Niagara Falls location
2. 1 year of customer service experience or equivalent, with a High School diploma or GED
3. Effective communication skills in English, both written and verbally
4. The natural instinct to multitask, be flexible, and the ability to adapt to changes
5. The ability to learn including strong problem-solving skills
...",not sure,
Java Developer - Associate,2025-11-21,https://jobright.ai/jobs/info/69208f91a49a885af9a3cbde?utm_source=1100&utm_campaign=Software Engineering,On Site,"New York, New York, United States of America",E*TRADE from Morgan Stanley,1001-5000,"Banking,Finance","$90,000-$150,000 /yr","1. Strong core-Java skills.
2. Experience with building highly resilient, fault tolerant, tested systems.
3. Experience with testing frameworks (any).
4. Understanding of the fundamentals of running Java on cloud-based platforms.
5. Good Linux fundamentals.
...",not sure,
Software Engineer I,2025-11-21,https://jobright.ai/jobs/info/68e6b7cee8daec61499ade27?utm_source=1100&utm_campaign=Software Engineering,On Site,"San Jose, CA",Cadence,10000+,"Aerospace,Electronic Design Automation (EDA)","$88,900-$165,100 /yr","1. BS in Electrical Engineering, Computer Engineering or Computer Science
2. Fluent in at least one functional scripting language, preferably but not limited to Python. Other languages are plus.
3. Strong interpersonal and communication skills, self-motivated and ability to work with cross-functions teams around the globe.",not sure,
Junior Software Developer,2025-11-21,https://jobright.ai/jobs/info/69208eb800c9ee50eaec55ac?utm_source=1100&utm_campaign=Software Engineering,On Site,KNV I,Siemens Healthineers,10000+,"Health Care,Health Diagnostics","$83,280-$124,920 /yr","1. Bachelor's degree in Computer Science/Software Engineering or equivalent professional work experience.
2. Proficiency in at least one programming language such as C++, C#, Python, Java, etc.
3. Competent in version control systems such as git.
4. Ability to work effectively with a remote development team.
5. Strong problem-solving and analytical skills.
...",not sure,
Technical Business Analyst,2025-11-21,https://jobright.ai/jobs/info/690b9a29221b890c277f619e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Burlington, MA",State Street,10000+,"Banking,Finance",$65000-$102500 /yr,"1. 0-2+ years of experience in product management, technical business analysis, or database administration.
2. Strong knowledge of Azure cloud services, especially in the context of data and database management.
3. Experience with SaaS platforms, both single-tenant and multi-tenant data architecture and compliance.
4. Experience leading product management and software engineering teams.
5. Bachelor’s in Computer Science or equivalent, and/or other work experience in a technical setting.
...",not sure,yes
Customer Service/Tech Support Rep -Software (On-Site),2025-11-21,https://jobright.ai/jobs/info/69208dfa00c9ee50eaec5538?utm_source=1100&utm_campaign=Software Engineering,On Site,"CAN, Belleville, ON",Concentrix,10000+,"Customer Service,Information Technology",$19.35-$19.35 /hr,"1. Excellent customer service
2. Prior customer service experience required. (at least 1 year)
3. Strong listening skills to be able to understand, empathize and resolve cx issue.
4. Ability to effectively communicate, verbally.
5. Open availability to work weekdays between the hours 8am-12am Mon-Fri EST and weekends 9am-6pm
...",not sure,
Software Engineer,2025-11-21,https://jobright.ai/jobs/info/69208df43f782d2f1afc8b97?utm_source=1100&utm_campaign=Software Engineering,On Site,"Cedar Rapids, IA",Wabtec Corporation,10000+,,"$60,700-$83,400 /yr","1. BS in Software Engineering/Computer Science/Electrical/Electronics Engineering is required
2. 1-3 years of work experience
3. A good understanding of Linux operating systems and networking (TCP/IP)
4. Effective oral and written communication skills, ability to articulate clearly and concisely
5. Self-driven, results oriented and a clear focus on high quality, self-motivated: these qualities are a must
...",not sure,
Data Engineer (Hybrid),2025-11-21,https://jobright.ai/jobs/info/6904ea4cff462851feff8923?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Chicago, IL",Enova International,501-1000,"Finance,Financial Services",$63000-$84000 /yr,"1. A Bachelor’s degree or Masters in Computer Science, Information System, or equivalent experience.
2. 1-3 years of experience in financial data engineering with a focus on database related technologies
3. Hands-on experience of SQL and database related technologies, particularly PostgreSQL.
4. 1-3 years of experience working with Cloud Data Warehouse Technologies such as Snowflake or Redshift.
5. 1+ years of hands-on experience working with Python
...",no,
Software Developer/Engineer,2025-11-21,https://jobright.ai/jobs/info/69208bf73f782d2f1afc8a4a?utm_source=1100&utm_campaign=Software Engineering,On Site,CLE EU 9500,Siemens Healthineers,10000+,"Health Care,Health Diagnostics","$119,920-$179,880 /yr","1. Designs, implements, maintains, enhances, tests, and supports software.
2. Develops software.
3. Reviews relevant requirements, standards and other documentation to clarify and understand software engineering requirements.
4. Provides estimates for modules under development, and estimates own work.
5. Completes the development of software test requirements for modules under development.
...",not sure,
"[2026] Software Engineer, Early Career",2025-11-21,https://jobright.ai/jobs/info/68cd50e6b2a74e1837ed50b7?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"San Mateo, CA",Roblox,1001-5000,"3D Technology,Gaming",$153120-$153120 /yr,"1. Pursuing or possess an undergraduate/graduate degree in computer science, engineering, a related technical field, or an equivalent practical experience.
2. Familiar with software engineering concepts through school, internships, personal projects, or previous jobs.
3. Proficient in one or more programming languages such as C#, Lua, Java, Go, Node.js, Ruby, Python, C++, or Swift.
4. Able to thrive in ambiguous environments, quickly adapting to new challenges and developing proficiency in coding standards to solve complex problems.",no,
Tech Support Field Technician,2025-11-21,https://jobright.ai/jobs/info/6920a7d13f782d2f1afc9d64?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Indianapolis, IN
Atlanta, GA",ROYPOW USA,101-250,"Battery,Electronics",$21-$25 /hr,"1. Must be willing to travel within the US (all expenses will be Covered by the Company)
2. Some technical support experience
3. Strong problem-solving and troubleshooting skills
4. Excellent communication and customer service skills
5. Technical support: 1 year
...",not sure,
DevSecOps Research and Development Engineer,2025-11-21,https://jobright.ai/jobs/info/69208a3f3f782d2f1afc895e?utm_source=1100&utm_campaign=Software Engineering,On Site,"Reston, VA",The Applied Research Laboratory at Penn State University,1001-5000,Universities,$76700-$129500 /yr,"1. Minimally requires a Bachelor's degree or in an Engineering or Science discipline.
2. Strong experience with Linux-based infrastructures, Linux/Unix administration.
3. Knowledge of scripting languages such as Python, Bash, and Ansible.
4. Experience with version control software such as Git.
5. Experience with open-source technologies and cloud services such as Docker and Kubernetes.
...",no,
IT Applications Developer -  CHARTS,2025-11-21,https://jobright.ai/jobs/info/692089c33f782d2f1afc8940?utm_source=1100&utm_campaign=Software Engineering,On Site,"Lincoln, NE",State of Nebraska,,,$29.348-$29.348 /hr,"1. Experience, education, or training in coding computer applications.",no,
"Training Solutions Research Scientist, AWS Training and Certification",2025-11-21,https://jobright.ai/jobs/info/69042a9c63502c0aded712a2?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, WA",Amazon Web Services (AWS),10000+,"Consulting,DevOps",$113000-$195200 /yr,"1. Master's degree or above in a quantitative field
2. 1+ years of quantitative field research experience
3. Experience investigating the feasibility of applying scientific principles and concepts to business problems and products
4. Experience with data analysis package (R, SAS, Matlab, etc.)
5. Experience using SQL databases to manage and analyze large data sets",not sure,
"Associate Business Analyst - New College Grad, Austin",2025-11-21,https://jobright.ai/jobs/info/69208773a49a885af9a3c4cd?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Austin, TX",Visa,10000+,"Banking,Finance","$77,000-$77,000 /yr","1. Bachelor's or Master's degree graduating May 2025 - August 2026.
2. Effective verbal and written communication skills
3. Demonstrated experience with creating reports and dashboards
4. Proficiency in data analytics and interpretation
5. Familiarity with audit and compliance best practices
...",no,
Data Center Engineer,2025-11-21,https://jobright.ai/jobs/info/69040e4a63502c0aded6fe1a?utm_source=1100&utm_campaign=Software Engineering,Hybrid,"Santa Clara, CA",Sauce Labs,501-1000,"Cloud Infrastructure,Information Technology",$85000-$105000 /yr,"1. 1-3 years of experience in a technical, data center, or IT support role.
2. Familiarity with basic IT hardware concepts (servers, networking gear, cabling).
3. Interest in physical infrastructure and hands-on technical work.
4. Understanding of TCP/IP basics and cable types (fiber, copper).
5. Comfortable using standard tools and following technical documentation.
...",not sure,
Identity Governance Administration Operations Engineer,2025-11-21,https://jobright.ai/jobs/info/691030fb988c2b7b4ec50782?utm_source=1100&utm_campaign=Software Engineering,On Site,"Charlotte, NC",Pacific Life,1001-5000,"Finance,Financial Services","$122,040-$149,160 /yr","1. 1-3 years Information Security experience, with strong focus in IAM IGA platforms (e.g. SailPoint, Saviynt, ForgeRock, Oracle)
2. Strong technical understanding of SailPoint ISC/IIQ product capabilities
3. Experience in working with identity lifecycle events/workflows (Joiner, Mover, and Leaver)
4. Experience with user access review campaign creation and maintenance
5. Proficiency in Java Beanshell, XML, and/or powershell preferred
...",not sure,
"Systems Development Engineer, AWS DBS ADC Analytics",2025-11-21,https://jobright.ai/jobs/info/68c7c37a5c38e536d41a632c?utm_source=1100&utm_campaign=Software Engineering,On Site,"Seattle, WA",Amazon Web Services (AWS),10000+,"Consulting,DevOps",$89200-$185000 /yr,"1. 1+ years industry experience as a Software Engineer or Software Developer
2. 1+ years developing with Python, Golang, Rust, Java, and/or other modern programming languages
3. Experience developing on Unix/Linux operating system
4. Experience building and supporting large-scale software systems that have been successfully delivered to customers
5. Bachelor’s degree in Computer Science, Computer Engineering, or related technical discipline (or equivalent experience)
...",no,
IT Asset Auditor,2025-11-21,https://jobright.ai/jobs/info/6903b21663502c0aded6b3bd?utm_source=1100&utm_campaign=Software Engineering,On Site,"Multi Location
Pleasant Prairie, WI
Kenosha, WI",Uline,5001-10000,Office Supplies,$80000-$95000 /yr,"1. Bachelor’s Degree.
2. Proficiency in Excel; ServiceNow experience preferred.
3. Clear communicator with all levels of staff and vendors.
4. Travel to Uline’s North American locations for site audits.",not sure,
